Stock Code,Investment_2019,Predicted_Investment_2019
200553,10882.28773,46888.95020092762
600480,25275.37511,56474.37694108533
600873,208858.0805,175220.30465329485
600809,703329.2175,485353.49506965966
601718,248891.7407,201599.30921009055
600961,28239.92163,16591.102308621223
530,40725.44389,49725.263045750675
200030,924.2643,42769.22553951561
601069,54868.24788,123670.42987814517
856,25136.18285,47326.06095841585
603002,7708.879207,29741.088764980203
600894,128427.4658,116436.86266679509
550,135758.8294,28549.77119736094
603335,11735.70972,34945.485938214755
200596,66202.74735,87008.73371857783
600343,78822.19395,55466.32935368887
603299,24599.38211,44472.49050694937
565,26076.35431,53623.22333594732
629,175304.8827,110760.92177624872
600929,48446.27466,47631.040775331494
923,10219.23302,34759.84526252956
603505,30163.12601,41258.758619014756
837,13666.80487,54083.97350689885
716,27989.08879,85907.29795712925
200054,804.7363068,-1339.4504660462262
17,18336.71917,26711.553971924877
951,-1177.433642,13827.070398127078
2042,116127.0518,90224.78036451049
600801,355049.5958,298308.9590666159
559,77831.43137,26973.28277838463
600862,45107.53374,65914.56920441712
600150,191497.3414,164220.30477649684
600359,2197.949059,35917.59245635843
898,170752.7964,137739.48614281003
570,7444.591107,30863.986470958742
600889,13005.82273,25528.399299397366
600146,61568.10849,76989.51708736789
601225,516823.8625,567571.261834447
600073,149566.7517,123422.15511766431
600689,18200.84613,45250.27267409803
600836,54720.28629,51568.97404361144
600720,99363.40413,96665.95980530774
831,122335.7517,106711.35583354463
600489,366457.8014,425351.97329200956
404,24535.93706,32871.79933853302
600238,6994.356824,32930.077133400715
600585,3626169.675,3500108.1650202116
600875,116473.3915,159810.1538448308
600123,102161.1169,52461.53068751859
600169,345896.8526,-9825.976545872632
953,17242.72561,26922.68668002385
595,16479.46303,55948.61907689192
2067,40787.59851,51839.8159423279
410,79019.40222,79786.74998728838
301,66903.5477,77940.10514148936
600019,1281478.704,1917224.788238741
600470,24608.05106,32231.543543928594
528,199432.371,-19563.047760244983
911,21915.4224,31882.656041032227
600028,3969636.558,5892114.018688752
2209,33991.31956,36753.48057976377
2075,219428.1961,151656.7531906668
789,110110.7868,117122.12393517798
603028,25970.28558,34471.549750612176
601002,59269.37819,62780.856893134536
603011,52496.71132,50037.02524245728
680,12660.92946,-10594.637473521987
820,1909.495418,2863.865454781044
600191,12442.55983,15760.482620224648
600469,20304.95712,38017.25074249145
600425,51028.47234,48961.58265673922
300643,4112.850964,37649.85994834523
825,223070.5233,170242.25648313574
592,24090.72413,33104.4552941033
850,23510.45673,71668.81475251308
735,127744.6724,179339.48600719194
792,283146.0379,308293.6364541304
600559,139923.2563,124783.97590997204
600259,92246.14203,143710.02508934855
600230,20395.03624,76849.0854599686
601579,21536.06599,24309.51764009276
200488,25291.02751,78937.32273466513
603256,1687.760589,49921.38967382413
600111,589847.4731,393213.202189874
300402,18154.42465,22318.683081933646
600228,9115.870481,23142.438491270295
589,81742.26759,67648.20847722323
635,10295.68822,23915.56343013438
935,153138.8878,168612.90425643814
893,38296.83719,15549.653209591925
815,83971.64458,58109.54010377877
600243,13690.5566,17772.813461258425
30,124624.004,18404.90926736244
968,50183.99726,76431.29725477996
600433,26051.22145,39390.189425904246
603779,28474.22603,30750.24031690182
900910,2411.882448,59200.5664678684
600069,22591.4836,44168.73002104153
600301,38485.97738,14151.05772626627
601608,99827.58861,62361.362205240934
2057,43804.41413,40768.99138021213
600810,23897.53562,70234.64120232058
600141,56065.77058,51132.89474226016
2213,15548.49375,21036.78043672978
902,66637.38025,80542.69069213647
601615,28119.96941,8808.2402954477
852,28509.6407,18938.074627841183
600779,387900.0953,247051.7721866403
603058,14336.02003,21889.44155094342
603799,178542.4774,408282.9096936522
600148,16232.1868,22654.171823204437
600547,910417.1026,655306.2957954638
601727,483179.3504,731074.2429484263
603363,22587.84812,17169.806109032128
2225,24586.01239,50929.31104563939
48,55935.3236,86374.2205020989
600962,14687.72801,21704.942783213628
600792,12517.18747,19785.220384147193
408,28369.56985,46022.723993751395
425,799807.1555,-89139.57098935824
600273,206272.5151,115087.51209178404
600714,21845.65083,21838.765198090114
859,62428.86629,61035.879523176
600725,8937.811125,44137.14147554361
